#values					dates										guess	Result
{4000; -46000}, {"2015-04-01"}, 0.1, "#NUM!"
{4000; -46000}, {"2015-04-01"; "2019-06-27"}, 0.1, 0.77868869226873
{-4000; -46000}, {"2015-04-01"; "2019-06-27"}, 0.1, "#NUM!"
{4000; 46000}, {"2015-04-01"; "2019-06-27"}, 0.1, "#NUM!"
{"y"; 46000; -4000}, {"2015-04-01"; "2019-06-27"; "2019-09-27"}, 0.1, "#VALUE!"
{4000; -46000}, {"2015-04-01"; "2019X06-27"}, 0.1, "#VALUE!"
{1893.67; 139947.43; 52573.25; 48849.74; 26369.16; -273029.18}, {"2019-06-27"; "2019-06-20"; "2019-06-21"; "2019-06-24"; "2019-06-27"; "2019-07-27"}, 0.1, 0.137963527
{1.0; 1893.67; 52573.25; 48849.74; 26369.16; -273029.18}, {"2019-06-27"; "2019-06-27"; "2019-06-21"; "2019-06-24"; "2019-06-27"; "2019-07-27"}, 0.1, 3235.159644
{1893.67; 139947.43; 52573.25; 48849.74; 26369.16; -273029.18}, {"2019-06-20"; "2019-06-27"; "2019-06-21"; "2019-06-24"; "2019-06-27"; "2019-07-27"}, 0.1, 0.15467888
{139947.43; 1893.67; 52573.25; 48849.74; 26369.16; -273029.18}, {"2019-06-20"; "2019-06-27"; "2019-06-21"; "2019-06-24"; "2019-06-27"; "2019-07-27"}, 0.1, 0.13796353
{100; -110}, {"2019-06-12"; "2020-06-11"}, 0.1, 0.0999999
{-100;20;40;25}, {"2010-01-01";"2010-04-01";"2010-10-01";"2011-02-01"}, 0.1, -0.197387315
{-100;20;40;25;8;15}, {"2010-01-01";"2010-04-01";"2010-10-01";"2011-02-01";"2011-03-01";"2011-06-01"}, 0.094759747
{-10000;2750;4250;3250;2750;46000},	{"2008-01-01";"2008-03-01";"2008-10-30";"2009-02-15";"2009-04-01";"2009-06-01"},		0.10,	3.434984565
# Owen original data, clearly wrong, below - substantial revisions above
# 1. Data should be in simple arrays, not matrices.
# 2. phpexcel thinks dates must be in order - excel doesn't agree.
#{-10000;2750|4250|3250|2750|46000},	{"2008-01-01";"2008-03-01"|"2008-10-30"|"2009-02-15"|"2009-04-01"},		0.10,	0.373362535
#{-100;20|40|25},			{"2010-01-01";"2010-04-01"|"2010-10-01"|"2011-02-01"},					-0.3024
#{-100;20|40|25|8|15},			{"2010-01-01";"2010-04-01"|"2010-10-01"|"2011-02-01"|"2011-03-01"|"2011-06-01"},	0.2095
